# Energy	Flux_temporale
2.760013170195826000e+16 -6.803476912622740000e+15
2.778661907602675600e+16 -6.284267779999011000e+15
2.797310645009524800e+16 -5.673151272089643000e+15
2.815959382416374400e+16 -4.990165378289377000e+15
2.834608119823224000e+16 -4.255348087992995000e+15
2.853256857230073600e+16 -3.488737390595268000e+15
2.871905594636923200e+16 -2.710371275490957500e+15
2.890554332043772400e+16 -1.940287732074856500e+15
2.909203069450622000e+16 -1.198524749741694750e+15
2.927851806857471600e+16 -5.051203178862618750e+14
2.946500544264320800e+16 1.199211203049228750e+14
2.965149281671170400e+16 6.635126783867303750e+14
2.983798019078020000e+16 1.127907136786958250e+15
3.002446756484869600e+16 1.517418294408503000e+15
3.021095493891719200e+16 1.836359950154255500e+15
3.039744231298568400e+16 2.089045902927104500e+15
3.058392968705418000e+16 2.279789951629953500e+15
3.077041706112267600e+16 2.412905895165690000e+15
3.095690443519116800e+16 2.492707532437204500e+15
3.114339180925966400e+16 2.523508662347393500e+15
3.132987918332816000e+16 2.509623083799149000e+15
3.151636655739665600e+16 2.455364595695363000e+15
3.170285393146515200e+16 2.365046996938927500e+15
3.188934130553364400e+16 2.242984086432739750e+15
3.207582867960214000e+16 2.093489663079686250e+15
3.226231605367063600e+16 1.920877525782663250e+15
3.244880342773912800e+16 1.729461473444568000e+15
3.263529080180762400e+16 1.523555304968284250e+15
3.282177817587612000e+16 1.307472819256708000e+15
3.300826554994461600e+16 1.085527815212735000e+15
3.319475292401311200e+16 8.620340917392562500e+14
3.338124029808160400e+16 6.413054477391685000e+14
3.356772767215010000e+16 4.276556821153578125e+14
3.375421504621859600e+16 2.253985937707192812e+14
3.394070242028708800e+16 3.884798160815035938e+13
3.412718979435558400e+16 -1.280938345087077031e+14
3.431367716842408000e+16 -2.747898565187643125e+14
3.450016454249257600e+16 -4.021592063122911875e+14
3.468665191656107200e+16 -5.111305636683907500e+14
3.487313929062956400e+16 -6.026326083661643750e+14
3.505962666469806000e+16 -6.775940201847191250e+14
3.524611403876655600e+16 -7.369434789031558750e+14
3.543260141283504800e+16 -7.816096643005762500e+14
3.561908878690354400e+16 -8.125212561560862500e+14
